timestamp, utilization.gpu [%]
2025/01/21 17:49:49.792, 24 %
2025/01/21 17:49:49.992, 24 %
2025/01/21 17:49:50.192, 15 %
2025/01/21 17:49:50.393, 15 %
2025/01/21 17:49:50.593, 20 %
2025/01/21 17:49:50.793, 20 %
2025/01/21 17:49:50.993, 26 %
2025/01/21 17:49:51.193, 21 %
2025/01/21 17:49:51.393, 19 %
2025/01/21 17:49:51.593, 26 %
2025/01/21 17:49:51.794, 13 %
2025/01/21 17:49:51.994, 14 %
2025/01/21 17:49:52.194, 26 %
2025/01/21 17:49:52.394, 26 %
2025/01/21 17:49:52.594, 22 %
2025/01/21 17:49:52.794, 18 %
2025/01/21 17:49:52.995, 18 %
2025/01/21 17:49:53.195, 26 %
2025/01/21 17:49:53.395, 14 %
2025/01/21 17:49:53.595, 26 %
2025/01/21 17:49:53.795, 26 %
2025/01/21 17:49:53.995, 24 %
2025/01/21 17:49:54.195, 16 %
2025/01/21 17:49:54.396, 24 %
2025/01/21 17:49:54.596, 15 %
2025/01/21 17:49:54.796, 14 %
2025/01/21 17:49:54.996, 21 %
2025/01/21 17:49:55.196, 19 %
2025/01/21 17:49:55.396, 26 %
2025/01/21 17:49:55.596, 26 %
2025/01/21 17:49:55.797, 26 %
2025/01/21 17:49:55.997, 26 %
2025/01/21 17:49:56.197, 13 %
2025/01/21 17:49:56.397, 20 %
2025/01/21 17:49:56.597, 19 %
2025/01/21 17:49:56.797, 6 %
2025/01/21 17:49:56.998, 20 %
2025/01/21 17:49:57.198, 26 %
2025/01/21 17:49:57.398, 14 %
2025/01/21 17:49:57.598, 25 %
2025/01/21 17:49:57.798, 13 %
2025/01/21 17:49:57.999, 20 %
2025/01/21 17:49:58.199, 19 %
2025/01/21 17:49:58.399, 26 %
2025/01/21 17:49:58.599, 15 %
2025/01/21 17:49:58.799, 26 %
2025/01/21 17:49:59.000, 26 %
2025/01/21 17:49:59.200, 13 %
2025/01/21 17:49:59.400, 26 %
2025/01/21 17:49:59.600, 16 %
2025/01/21 17:49:59.800, 24 %
2025/01/21 17:50:00.000, 25 %
2025/01/21 17:50:00.200, 23 %
2025/01/21 17:50:00.401, 17 %
2025/01/21 17:50:00.601, 18 %
2025/01/21 17:50:00.801, 20 %
2025/01/21 17:50:01.001, 15 %
2025/01/21 17:50:01.201, 16 %
2025/01/21 17:50:01.401, 24 %
2025/01/21 17:50:01.602, 26 %
2025/01/21 17:50:01.802, 22 %
2025/01/21 17:50:02.002, 18 %
2025/01/21 17:50:02.202, 26 %
2025/01/21 17:50:02.402, 14 %
2025/01/21 17:50:02.602, 13 %
2025/01/21 17:50:02.803, 26 %
2025/01/21 17:50:03.003, 27 %
2025/01/21 17:50:03.203, 13 %
2025/01/21 17:50:03.403, 25 %
2025/01/21 17:50:03.603, 13 %
2025/01/21 17:50:03.803, 15 %
2025/01/21 17:50:04.003, 19 %
2025/01/21 17:50:04.204, 20 %
2025/01/21 17:50:04.404, 25 %
2025/01/21 17:50:04.604, 25 %
2025/01/21 17:50:04.804, 20 %
2025/01/21 17:50:05.004, 20 %
2025/01/21 17:50:05.204, 26 %
2025/01/21 17:50:05.405, 14 %
2025/01/21 17:50:05.605, 26 %
2025/01/21 17:50:05.805, 15 %
2025/01/21 17:50:06.005, 24 %
2025/01/21 17:50:06.205, 26 %
2025/01/21 17:50:06.405, 13 %
2025/01/21 17:50:06.606, 26 %
2025/01/21 17:50:06.806, 14 %
2025/01/21 17:50:07.006, 25 %
2025/01/21 17:50:07.206, 15 %
2025/01/21 17:50:07.406, 14 %
2025/01/21 17:50:07.606, 13 %
2025/01/21 17:50:07.806, 26 %
2025/01/21 17:50:08.007, 14 %
2025/01/21 17:50:08.207, 13 %
2025/01/21 17:50:08.407, 26 %
2025/01/21 17:50:08.607, 13 %
2025/01/21 17:50:08.807, 26 %
2025/01/21 17:50:09.007, 26 %
2025/01/21 17:50:09.207, 14 %
2025/01/21 17:50:09.407, 26 %
2025/01/21 17:50:09.608, 14 %
2025/01/21 17:50:09.808, 26 %
2025/01/21 17:50:10.008, 13 %
2025/01/21 17:50:10.208, 26 %
2025/01/21 17:50:10.408, 14 %
2025/01/21 17:50:10.608, 26 %
2025/01/21 17:50:10.809, 25 %
2025/01/21 17:50:11.009, 15 %
2025/01/21 17:50:11.209, 26 %
2025/01/21 17:50:11.409, 13 %
2025/01/21 17:50:11.609, 27 %
2025/01/21 17:50:11.809, 13 %
2025/01/21 17:50:12.009, 25 %
2025/01/21 17:50:12.210, 15 %
2025/01/21 17:50:12.410, 16 %
2025/01/21 17:50:12.610, 24 %
2025/01/21 17:50:12.810, 19 %
2025/01/21 17:50:13.010, 21 %
2025/01/21 17:50:13.210, 20 %
2025/01/21 17:50:13.411, 20 %
2025/01/21 17:50:13.611, 27 %
2025/01/21 17:50:13.811, 17 %
2025/01/21 17:50:14.011, 23 %
2025/01/21 17:50:14.211, 13 %
2025/01/21 17:50:14.411, 26 %
2025/01/21 17:50:14.611, 14 %
2025/01/21 17:50:14.812, 27 %
2025/01/21 17:50:15.012, 13 %
2025/01/21 17:50:15.212, 25 %
2025/01/21 17:50:15.412, 15 %
2025/01/21 17:50:15.612, 26 %
2025/01/21 17:50:15.812, 18 %
2025/01/21 17:50:16.013, 23 %
2025/01/21 17:50:16.213, 13 %
2025/01/21 17:50:16.413, 27 %
2025/01/21 17:50:16.613, 17 %
2025/01/21 17:50:16.813, 22 %
2025/01/21 17:50:17.013, 15 %
2025/01/21 17:50:17.213, 19 %
2025/01/21 17:50:17.414, 21 %
2025/01/21 17:50:17.614, 13 %
2025/01/21 17:50:17.814, 27 %
2025/01/21 17:50:18.014, 26 %
2025/01/21 17:50:18.214, 24 %
2025/01/21 17:50:18.414, 18 %
